date,price
6/4/2018,1349.4
6/5/2018,1354.1
6/6/2018,1353.5
6/7/2018,1354.4
6/8/2018,1354.4
6/11/2018,1355.5
6/12/2018,1351.8
6/13/2018,1353.5
6/14/2018,1360.6
6/15/2018,1329.3
6/18/2018,1331.1
6/19/2018,1329.2
6/20/2018,1325.3
6/21/2018,1321
6/22/2018,1321.3
6/25/2018,1319.2
6/26/2018,1309.6
6/27/2018,1305.7
6/28/2018,1300.2
6/29/2018,1303.9
7/2/2018,1289.9
7/3/2018,1302.4
7/4/2018,1258.1
7/5/2018,1307.6
7/6/2018,1304.8
7/9/2018,1309
7/10/2018,1305.1
7/11/2018,1293.3
7/12/2018,1295.4
7/13/2018,1289.7
7/16/2018,1288.2
